"","id","year","mo","day","temp","visib","num_collisions"
"170",2625,2019,9,6,16.7,7.4,489
"171",1225,2015,11,6,16.3,6.9,500
"172",452,2013,9,3,12.9,10,539
"173",2425,2019,2,2,-3.4,10,527
"174",1352,2016,3,7,10.1,10,435
"175",1336,2016,2,5,4.6,9.5,476
"176",502,2013,11,4,6,10,620
"177",2318,2018,11,7,8.7,10,502
"178",2010,2017,12,7,-6.1,4.9,462
"179",620,2014,3,3,6.3,7.2,515
"180",1582,2016,10,6,10.6,8.8,614
"181",220,2013,2,2,-1.8,7.8,566
"182",205,2013,1,1,-0.4,9.2,355
"183",1283,2016,1,1,3.4,10,601
"184",1871,2017,8,1,19.8,6.1,602
"185",2225,2018,8,5,23.2,4.6,749
