collision_date,contributing_factor,num_contributing_factor
2016-08-20,Headlights Defective,1
2016-07-19,Eating or Drinking,1
2021-11-30,Cell Phone (hands-free),1
2021-10-06,Texting,1
2022-04-18,Cell Phone (hand-Held),1
2022-10-22,Using On Board Navigation Device,2
2016-11-03,Eating or Drinking,1
2017-07-31,Eating or Drinking,1
2019-02-25,Shoulders Defective/Improper,1
2020-10-04,Cell Phone (hand-Held),1
2018-01-29,Using On Board Navigation Device,1
2018-11-09,Using On Board Navigation Device,1
2019-05-14,Tinted Windows,1
2016-11-18,Tow Hitch Defective,1
2017-05-01,Cell Phone (hand-Held),1
2019-05-17,Cell Phone (hands-free),1
2018-10-08,Cell Phone (hand-Held),1
2019-01-10,Tow Hitch Defective,1
2017-10-19,Tow Hitch Defective,1
2020-03-11,Cell Phone (hand-Held),1
2018-11-12,Cell Phone (hand-Held),1
2021-12-14,Shoulders Defective/Improper,1
2016-11-25,Cell Phone (hand-Held),1
2019-10-10,Cell Phone (hands-free),1
2017-09-24,Cell Phone (hand-Held),1
2017-10-03,Tinted Windows,1
2021-11-28,Cell Phone (hand-Held),1
2016-07-28,Tow Hitch Defective,1
2017-07-13,Using On Board Navigation Device,1
2016-09-19,Cell Phone (hand-Held),1
2017-10-14,Cell Phone (hand-Held),1
2018-04-17,Cell Phone (hand-Held),1
2019-09-23,Shoulders Defective/Improper,1
2020-05-22,Tow Hitch Defective,1
2019-06-13,Tinted Windows,1
2021-08-15,Vehicle Vandalism,1
2020-08-25,Using On Board Navigation Device,1
2020-03-08,Using On Board Navigation Device,1
2018-02-05,Texting,1
2017-01-18,Cell Phone (hand-Held),1
2018-09-26,Cell Phone (hand-Held),1
2019-08-13,Cell Phone (hands-free),1
2022-09-26,Shoulders Defective/Improper,1
2022-07-15,Tinted Windows,1
2016-04-12,1,1
2017-02-10,Cell Phone (hand-Held),1
2017-10-25,Tinted Windows,1
2019-08-08,Cell Phone (hand-Held),1
2017-12-19,Shoulders Defective/Improper,1
2020-03-21,Eating or Drinking,1
2021-07-20,Tow Hitch Defective,1
2017-03-11,Using On Board Navigation Device,1
2017-07-17,Using On Board Navigation Device,1
2020-09-25,Using On Board Navigation Device,1
2021-09-01,Using On Board Navigation Device,1
2018-09-19,Cell Phone (hand-Held),1
2021-10-04,Cell Phone (hands-free),1
2015-08-27,Cell Phone (hand-held),1
2018-12-15,Cell Phone (hand-Held),2
2016-02-23,Shoulders Defective/Improper,1
2018-10-26,Eating or Drinking,1
2017-04-15,Tinted Windows,1
2019-01-11,Texting,1
2017-12-17,Cell Phone (hands-free),1
2018-08-13,Other Lighting Defects,1
2022-07-06,Other Lighting Defects,1
2013-12-20,Other Lighting Defects,2
2014-06-07,Cell Phone (hands-free),1
2015-08-04,Drugs (Illegal),2
2014-08-02,Cell Phone (hand-held),2
2012-08-27,Shoulders Defective/Improper,1
2012-07-16,Windshield Inadequate,1
2013-02-11,Cell Phone (hands-free),1
2013-06-27,Drugs (Illegal),1
2015-04-02,Drugs (Illegal),1
2015-08-18,Drugs (Illegal),3
2013-08-23,Cell Phone (hand-held),1
2012-09-06,Drugs (Illegal),1
2013-11-25,Drugs (Illegal),2
2016-03-09,Cell Phone (hands-free),1
2012-10-17,Drugs (Illegal),2
2015-05-05,Cell Phone (hands-free),1
2013-12-04,Drugs (Illegal),1
2014-10-16,Cell Phone (hands-free),1
2014-12-08,Drugs (Illegal),1
2012-08-25,Drugs (Illegal),1
2013-09-07,Drugs (Illegal),1
